CLAIM_ID	Current wording	Original/source wording	Docs	Status	Evidence	Experiment artifact	Code path	Contract version	Evidence strength	Allowed scope	Forbidden wording	Known counterevidence	Needs follow-up?
C011	v_shot_soft 는 포획 확률이 아니다 (union 블록별 밀도 상이·확률질량 가중 없음)	docs/53 §1.2	docs/53 §1.2, docs/54 §0 #3	ACTIVE	코드 판독	—	viability.py _assemble; build_reachable_union 블록 구성	all	exact (코드 계약)	v_soft/v_worst 이중 지표로만	"v_soft=0.9 -> 90% 포획"	—	no (R3 미구현이므로 유지 감시)
C012	net miss 즉시 종료는 비준 설계(docs/29 2모드+1핸드오프) 대비 구현 비정합이었다; R2(miss_terminates=False)로 개정, 기본값은 현행(True)	docs/53 §1.1·§4.1	docs/53, docs/54 R2	ACTIVE	코드 확인 + P81/P82	tests/test_net_miss_handoff.py	env.py:356 spent_fail; env_sys.py:110 miss_terminates, :304-316 억제; fsm SPENT no-op :113	R2 (flag)	exact (코드 계약)	"handoff 는 F-flags arm 에서만 활성" 을 항상 병기 (기본 경로는 여전히 즉시 종료)	"환경이 (무조건) handoff 를 갖는다"	—	no
C013	boxed 상태의 주 병목은 접촉(engagement) resolver 부재였다: A 침투 1.000 / C1(종료억제) 0.941 / C2(+resolver) 0.235	docs/53 §4.5b	docs/53 §4.3-4.5b, docs/54 §0.1	ACTIVE	3-arm 감사, boxed 17판	results/boxed_arm_audit*.json	boxed_arm_audit.py; env_sys.py:239(commit bit), _resolve_contacts	legacy->R1 전환 근거	intervention (arm 분해)	17판·intercept·A2·프로토타입 한정	C2 수치(0.706/0.235)를 성능으로 (endpoint 산물, C2R 에서 대체됨)	V2: 프로토타입 수치는 endpoint 검출 산물 (docs/54 §3.1)	no
C014	V2 판정 2줄: primary numerical replication FAIL (대역 ±0.15 밖) / preregistered mechanistic attribution PASS (swept 축 사건단위 귀속, 누수 없음)	docs/54 §3.1	docs/54 §3.1, docs/55 §1	ACTIVE	C2R vs C2, 17판 사건 대조	results/boxed_arm_audit_v2.json	env_sys._resolve_contacts (_seg_min_dist swept); r_contact 키	R1	exact replay + 사건 귀속	두 줄을 반드시 분리 보고	"V2 통과"	—	no
C015	C2R 무력화 1.000 은 Pk=1 contact-event semantics check 이지 성능 추정치가 아니다	docs/54 §3.1 잔여 caveat	docs/54 §3.1	ACTIVE	—	동일	env_sys._bern (p_kill=1 단락)	R1	semantics check	—	1.000 을 boxed 일반 포획확률로	Pk sweep 곡선 (§3.2B)	no
C016	chord-swept 는 이산 환경의 선택된 event contract 다; 두 보간 규약에서 16/17 판정 일치(ep19 경계). 실제 연속 물리 접촉 인증 아님. (0.033 오차상한 논법은 철회 — 적분기 semi-implicit Euler)	"15/17 강건" + 0.033 상한	docs/54 §3.2(A), docs/55 §3	DOWNGRADED (상한 논법은 RETRACTED)	contact_exact_audit, 자기검사 2회 FAIL 후 원인 확정	results/contact_exact_audit.json	sim/analytic.py:123-129 (semi-implicit Euler); env_sys._seg_min_dist	R1	sensitivity (two-convention comparison)	"두 규약 판정 일치 16/17" 까지	"chord false positive 없음 증명"; 0.033 상한 인용; "3건 철회 기준" 을 사전등록 게이트로	적분기가 이차 재구성 가정 위반	no
C017	Pk sweep = resolver sanity + 임무 민감도: event kill 빈도가 Pk 이항 CI 안(전 구간), 중간 Pk 에서 순차 접촉 재시도 효과 +0.12~0.13 관측(상수 아님, Pk=1 포화). 물리적 lethality calibration 아님	docs/54 §3.2(B)	docs/54 §3.2(B)	ACTIVE	boxed 17판 x Pk 5 x seed 3	results/pk_sweep_audit.json	env_sys._bern; PK_FAIL=소모 계약	R1	sanity + observation	재시도 = 서로 다른 limiter 순차 접촉임을 병기	재시도 효과를 일반식/상수로; 곡선을 실제 lethality 로	—	no
C018	R1 event = 근접 kinetic engagement opportunity (판정 B); NK veto 적용은 비준 계약과 정합 (provenance 3/3 사전 존재). "현행 비준·구현 계약에서" 한정	docs/57 §2	docs/57 §2, docs/58 §2	ACTIVE	roles.py:26 주석(45ab93d, 06-26), docs/29 §13 (07-27)	커밋 대장 docs/58 §2	env_sys._resolve_contacts docstring; roles.py:26	R1	provenance audit	물리적 진실 주장 아님; 충돌 물리 부재 = A 반증 아님	"contact = 물리 충돌"; "실제 시스템에서도 B 다"	리뷰 4: 미구현일 수도	yes — contact->engagement rename chore 미실행 (코드 키 잔존)
C019	저장된 miss 7판·선언 budget·Pk=1 에서 어떤 arm 도 침투를 못 막았다; 발견된 접촉 11건 전부 NK veto. 물리적 회복 불가능 인증 아님	docs/56 §9	docs/56 §9.1-9.3	ACTIVE	2x2 CEM probe, P83 8/8 green, clean HEAD d8b9e3e	results/recoverability_probe.json	scripts (recoverability probe); §7.1 상수	R1+R2 (F-flags), legacy 스케일	budget-한정 반증 probe	"해당 7판·현 budget 에서 NK 밖 contact 미발견" 까지; ORC≻INT·TP≻T0 는 도달성 수준 부수 관측	"kinematics 병목 아님" 일반화; "허용된 접촉 불가능"; 물리적 불가능	—	no
C020	발사 후 latest-start sweep 35/35 실패는 planner 표현력·proxy 정렬·budget 과 구분되지 않는다 (창이 닫힘 가설·pre-fire 환원·비단조=이질성 전부 철회)	"발사 시점에 이미 창이 닫혀 있었다"	docs/57 §4 (철회 반영), docs/58 §1·§3	DOWNGRADED	35 point CEM sweep	results/latest_start_sweep.json	동일 CEM 스택	R1+R2, legacy 스케일	budget-한정 관측	docs/57 §4.3 허용 문장 그대로	"창이 닫혔다"; "pre-fire 로 환원됐다"; "비단조 = 상태별 이질성"	리뷰 4 §2·§3 기각	no
C021	P2′(NK-aware proxy·seed10·budget 3.3x)에서도 NK-밖 접근은 요격 반경 1.28배 밖 — "proxy 가 NK-안 유도" 대안 설명은 이 표본에서 반증됨. 인증 아님	docs/58 §4.1	docs/58 §4-4.1	ACTIVE	7판 병렬 샤드	results/p2prime_ep*.json (+미커밋 .log)	NK-aware lexicographic proxy (_proxy_score_nk)	R1+R2, legacy 스케일	adversarial refutation (1축)	7판·open-loop CEM K=4 한정; 잔여 대안(표현력·replan 부재) 명기	"post-fire 창 부재 인증"	—	no
C022	pre-fire(fire−5) 개입에서 ep35 1/7 이 net 비행 중 NK-밖 무력화 달성 — 캠페인 최초 실증. fallback = 사전 safe kinetic geometry 준비 문제라는 해석의 실증 1건	docs/58 §6.1	docs/58 §6-6.1	ACTIVE	full-fidelity closed-loop, 커밋 7f8d56b	results/prefire_ep*.json	full env rollout + NK-aware CEM	R1+R2, legacy 스케일	witness (1건)	1/7·무반응 A2·privileged·budget 한정; NET_CAPTURE 0건 병기	"shepherding 성공"; 일반 가능/불가능 결론	나머지 6판 실패	no
C023	legacy A2 계약에서 0.75m 밖 limiter 배치는 공격자 행동에 직접 인과효과가 없다 (42/42 bit 동일 + positive control 14/14) -> legacy 계약에서 shepherding(행동 유도) 주장은 검정 불가	docs/58 §7.1	docs/58 §7-7.1, docs/60 §0	ACTIVE	P84 manipulation check	results/coupling_gate.json	env.py:346 repel_margin=1.0; adversary repel 경로	legacy A2	intervention + positive control	fire_mode="never" 격리 조건 병기 (v_shot 경유 간접 채널은 별도)	"legacy 결과가 shepherding 을 반증"(검정 자체가 불가였음)	—	no
C024	v2 스케일(300m·800스텝)에서 hold 기저선은 legacy 와 근사(15/85 vs 16/84) — 새 대응시간을 아무도 안 쓴다. 기존 결론 전부는 "legacy small-scale regime" 한정으로 재스코프	docs/59 §0·§3.2	docs/59	ACTIVE	V4-800 n=100	results/scale_v2_baseline*.json(+log 미커밋)	scale_v2.py SCALE_V2_CFG; P85/P86	v2	observation (baseline)	"폐기가 아니라 regime 한정" 프레임 유지	legacy 수치와 v2 수치를 같은 표에 (P78 동형 금지)	—	no
C025	ep1 의 NK-밖 자연 발생 fallback 창(준정지 1.25m/s @ d_asset 16.1m)은 단일 에피소드 육안+수치 관찰이다	docs/59 §3.2	docs/59 §3.2	ACTIVE	V4-800 ep1 추적	뷰어 artifact + 수치	—	v2	observation (n=1)	"자연 발생 사례 1건 관측" 까지	"v2 에서 NK-밖 창이 일반적으로 열린다"	—	no
C026	위협 v3 게이트: P87(NESTING bit) P88(방향성 causal channel — controllability) P89(능력/saturation) P90(침투 보존) P91a(등방성) 전부 green; P91b 는 1차 FAIL(공면 tie-break 비공변) -> 교정 -> PASS (분리 기록)	docs/60 §5.1	docs/60 §5.1, docs/62 §1-3	ACTIVE	nominal 게이트 실행	results/threat_v3_*.json	agents/attacker_ladder.py:171-268 (_route_accel angular-gap, +z tie-break :251)	v3 NOMINAL	engineering gates + intervention (P88)	P88 은 controllability 지 natural occupancy 아님 (P94 가 후자); P91b 는 FAIL->PASS 병합 서술 금지	"P88 = shepherding 신호 확보"; 이 교정 선례를 threat tuning 면허로	—	no
C027	V6 는 sanity 전용: z-지배 0.81 은 route 의 z "요청" 수치이지 침투 실현 기전 증거가 아니다 (V7 육안 판독 정정: ep1 vertical move = 관성+jink)	"vertical escape 실재 (FULL z-지배 0.81)"	docs/60 §5.2-5.3	DOWNGRADED	V6 n=300 + V7 육안	results/v6_*.json, artifact 0a31f6b9	viewer + route z 성분	v3 NOMINAL	observation (descriptive)	route 인과 귀속은 paired ablation 로만 (P94 가 그 역할)	arm 간 차분을 위협 효과로 귀속; z-지배를 실현 기전으로	V7 판독 ①	no
C028	P94 GREEN: V3-FULL NOMINAL 자연 상태에서 route ON/OFF paired 50판 중 발산>=1m 46판, label 변화 7, fire 변화 5 — "학습 가능한 shepherding channel" 명칭 제한 해제 (학습이 실제 이용하는지는 미검)	docs/61 §5.1 (감사 세션 중 커밋 6dccf93)	docs/61 §5.1, docs/62 §2	ACTIVE	paired CRN ablation, 판정식 커밋 f5c75b6 은 결과 전	results/threat_v3_p94.json	P94 러너 (커밋 f5c75b6); route on/off paired	v3 NOMINAL	intervention (paired, natural-state)	"channel 이 자연 상태에서 측정 가능한 인과효과" 까지; MARL 이용 여부는 static/active 대조 몫	"MARL 이 shepherding 을 학습할 수 있는 충분한 신호가 확보됐다" 는 여전히 과함 (docs/62 금지 문장의 잔여 절반)	label 변화는 14% (7/50)	no
C029	docs/61 TRAIN 분포 r1 (3x3 stratification·IID/OOD·lexicographic endpoint) 은 Hyunjun 비준 대기; P92/P93/P95 미실행; scripted baseline 동결 문서 docs/63 미작성	docs/61	docs/61, docs/62 §4	PENDING	—	—	scale_v2.draw_threat_v3 (미배선)	v3 TRAIN (예정)	—	비준·게이트 전 학습 금지; 분포는 balanced experimental design (최소 가정 아님)	"TRAIN 범위가 nominal 과 독립"; "최소 가정 분포"	—	yes — 비준 + P92/93/95 + docs/63
C030	R2 국면 전환 기제는 작동 검증됨(P81 + V3b (ii)); 그러나 miss 후 scripted 폴백 무력화는 0/7 로 미실증 — 원인 5종 미판정 (이후 사슬: pre-fire 에서 1건 실증)	docs/54 V3b	docs/54 V3/V3b, docs/58 §6.1	ACTIVE	handoff_audit n=100x2	results/handoff_audit.json	env_sys.py:304-316; handoff_audit	R2	기제 검증 + 음성 관측	"transition 은 구현됐으나 scripted 폴백 무력화 미실증" 두 절 분리	"전술 난이도 신호"(리뷰 3 기각); "폴백 작동"(성능 의미로)	원인 (i)~(v) 교락	no
G01	[GAP] env.py docstring "captured iff v_shot_soft >= capture_thresh" 는 실제 capture rule 과 다르다 — capture_thresh 는 저장만 되고 안 읽힘 (DEAD)	env.py:84-89 주석	params.py:220 (DEAD 등재)	CONFLICT(문서화됨)	코드 판독	—	env.py:89 (저장), :320 (실제 rule)	all	exact	params 레지스트리가 이미 문서화 — env.py 동결이라 수정 대신 문서	docstring 을 근거로 capture_thresh 인용	—	no (등재 완료 상태 유지)
G02	[GAP] "contact" 명칭(코드 키 contact_resolver/r_contact/"contacts" info) vs 비준 의미 "engagement" — rename chore 선언 후 미실행	docs/57 §2.1	docs/57 §2.1	PENDING	—	—	env_sys.py 전반 키 이름	R1	—	docstring 에 의미 고정됨 (env_sys:410-415) — 신규 문서는 engagement 로	"contact = 충돌" 함의 사용	—	yes — chore 커밋
G03	[GAP] docs/56 §6.2 등에서 "CONTACT_NEUTRALIZATION" 을 terminal 라벨처럼 표기하나 mission_rollout LABELS 에 그 라벨은 없다 (contact kill 은 HARD_KILL 로 채점, source 로만 분리)	docs/56 §6.2, docs/58 §6	mission_rollout.py:55	RESOLVED(2026-08-08)	코드 판독	—	mission_rollout.py:55, env_sys CommitRecord.source	R1	exact	docs/56 §6 에 표기 정정 블록 추가 완료 (분석 카테고리 명시; docs/58 은 기존 =HARD_KILL 주석) — 신규 문서는 처음부터 라벨 아님 표기	CONTACT_NEUTRALIZATION 을 env 라벨로 인용	—	no — 주석 완료 (rename 자체는 G02 chore)
G04	[GAP] docs/50 §5(B):183 에 정정 9 로 철회된 "스파인을 깨는 하드킬로 도망간다" 문구가 논문 후보 문장 안에 잔존	docs/50:183	docs/50 §5 vs §1.3	RESOLVED(2026-08-08)	—	—	—	legacy	—	§5(B):183 취소선+정정 주석 반영 완료 — 논문 후보 문장은 앞 두 절(조준→발사 기회)까지만	해당 문장 그대로 논문 인용	정정 9	no — 수정 완료 (커밋 참조)
G05	[GAP] docs/48 §5 "스크립트 발사 규칙은 특권적이다" 는 §10.2 에서 "틀렸다" 로 정정됐으나 §5 본문에 정정 표시가 없다	docs/48 §5 vs §10.2	docs/48	RESOLVED(2026-08-08)	fire_audit probe (신호가 관측에 있음)	—	obs[60]	legacy	—	§5 원문 취소선+§10.2 정정 표시 반영 완료	§5 원문 단독 인용	§10.2	no — 수정 완료
C031	관측된 잔여 조준 오차 psi_med=4.26deg 가 운동학 경계(a*=39.33)보다 이른 실질 경계(22.45)와 결부된다. 그러나 원인 미해결이며 nominal slew-rate cap 은 원인으로 지지되지 않는다. E1(2026-08-13): T0 반사실 0/500, 등록 T1 확장 1/500 rescue (delta +0.002, CI95 [0.000,0.006]) -> 사전등록 규칙상 slew-민감 채널 존재는 INCONCLUSIVE; high-chi (registered E1 sample n=297) 은 0 rescue	"두 번째 경계가 예측->검증까지 닫혔다 / 유한 조준 각속도가 먼저 구속한다" (docs/45 §0, §9)	docs/45 §0·§9 (원주장) vs docs/51 §9 (반증) / docs/83 (정정·사전등록)	DOWNGRADED	T0 paired counterfactual n=500 omega 2.0->1e6: rescued 0 / broken 0, diff 0.0 CI [0,0] (results/slew_counterfactual.json). E1 T1 확장 n=500 동일 CRN: 84->85, rescued 1 / broken 0, diff +0.002 CI95 [0.000,0.006], passes=False (results/e1_t1_slew_counterfactual.json, prereg_commit eea7180)	results/slew_counterfactual.json (paired['고정·ω2.0 -> 고정·ω∞'])	shepherd/scripts/mobility_factorial.py:68-70,76,181-182 (ratified_system · A2 jink 0.6 = T0 · hold · mobility 0)	R1/R2 ratified (legacy 아님) · M4 legacy geometry	exact (paired, 양방향 flip 0)	T0 hold 고정-finisher 한정. 기하 관계 a*(psi)=2d(tan(theta)-psi)/tau^2 자체는 원인과 무관하게 유효. 'aiming-limited' 구간명 유지 가능 ★ LINEAGE CAVEAT (2026-08-13, docs/83 §12A): psi_med=4.26 은 **no-fire audit world** (slew_audit: _zero_commit + clean_threshold_crossed=False 하드코딩, SystemSpec 구계약) 에서 측정된 historical metric 이고, 곡선(22.45)은 ratified fire 세계에서 나왔다. 두 값의 lineage 가 다르므로 '동일 rollout 에서 독립 측정' 표현 금지. 정본 = 'the empirical boundary remained approximately stable, while a separate no-fire aiming audit reported the same median residual angle under its registered audit configuration.' E1b 가 처음으로 둘을 같은 세계에 묶는다	'finite slew binds first' / 'slew-limited' / '조준 각속도 경계를 검증했다' / spine 에 'tau x 겨냥 각속도' / (반대로) 'slew dynamics 는 무관하다'(cap 한정을 넘는 일반화)	results/slew_counterfactual.json — omega=inf 에서 0/500 flip (docs/45 §9 의 인과 귀속을 반증). 08-01 주장 vs 08-05 반사실이 08-13 까지 미연결 상태였음	yes — E1b (psi 분포 paired 비교 + per-episode records 영속화). E1 판정은 E1b 결과와 무관하게 불변. rescue 1건 위치 분석은 post-result diagnostic localization 등급 (confirmatory 승격 금지)
C032	a >= a*(39.33) 구간의 net capture 0 은 **발사 후 실패가 아니라 게이트 기권**이다. E1c: a_att >= 32.2 에서 발사 0/350 (발사한 최대 a_att = 32.15). 따라서 그 zero 들은 post-commit net failure 의 독립적 실증이 아니다 (censored). 또 practical collapse 는 P(F|a) 와 P(C|F,a) 의 **동시 붕괴**(경우 3)다	"39.3 위 0/1635(T0) · 0/1598(T1) 이 analytic 경계를 실측 검증했다" (KSAS draft §2.2-2.3 · docs/45 계열 서술)	docs/83 §14 (E1c) / 원 서술 = docs/45 · KSAS 본문 draft	DOWNGRADED	E1c n=500 T1 hold omega=2.0: P(F|a) = 1.000 / 0.920 / 0.388 / 0.000 (bins 11-18.1 / 18.1-25.2 / 25.2-32.2 / 32.2-39.3); P(C|F,a) = 1.000 / 0.652 / 0.105 / 정의불가. a>=32.2 발사 0/350	results/e1c_fire_decomp.json (+ .log)	shepherd/scripts/e1c_fire_decomp.py; fire gate = finisher_fsm.py:85 (v_shot_soft >= theta_fire 0.9)	R1/R2 ratified · M4 legacy geometry · T1 (route 0.5 / sense 30)	EXPLORATORY / post-result diagnostic (n=500, E1b 이후 세운 가설)	정본 = 'No net captures were observed above the analytic outer bound; however, the registered fire gate issued no shots in this regime, so these outcomes do not constitute an independent empirical test of post-commit net failure.' 국소 기하 예산(rho 1.770 -> 1.380 -> slack 1.103, 2*slack/tau^2 = 24.5 vs 관측 22.4-22.9)은 'diagnostically reconciles much of the gap' 까지만	'analytic boundary above which 0/1598 shots failed' / '0/1598 이 analytic 경계를 실측 검증' / '39.3 위에서 쏴서 다 실패했다' / '22.45 의 원인을 거의 전부 설명했다' / 'ax 안정성은 selection artifact 가 아니다'(게이트가 유리 기하를 고르므로 pin 될 수 있음)	—	yes — E1d state-conditioned forced-commit counterfactual (do(F=1), 동일 snapshot clone) 로 gate 와 terminal physics 를 분리. 순서상 E2-B 이후 필요 시 사전등록
C033	현행 하드킬은 **explicit kamikaze commit controller 가 아니라 continuous pursuit + geometric contact resolver** 로 동작한다. 커밋 기하 문턱 margin = r_commit + 0.5*(a_lim - a_att)*tau_kill^2 이 0.22~0.42 m 인데 접촉 resolver 는 r_contact = 0.75 m 에서 먼저 해결하므로, limiter 가 margin 안까지 들어가기 전에 접촉으로 판정이 끝난다 => scripted commit 경로가 사실상 사문	(신규 발견 — 기존 서술 없음. docs/29 §12.3 은 intercept arm 을 '그냥 박는다' 로 기술)	docs/83 §18 부수 발견 / 코드 = env_sys.py:314-315 (margin) vs :428+ (_resolve_contacts)	ACTIVE	덤프 3 개 하드킬 에피소드 전부 source='contact' (ep3 d_nom 0.423 / ep9 0.709 / ep12 0.551, margin 0.218/0.424/0.339). E3 스모크 n=20 에서 커밋 limiter 수 중앙값 0.0/4	results/viz_traj_t1_hk.json (commits[].source) · results/e3_oracle.json (n_committed)	shepherd/env_sys.py:314-315 · shepherd/scripts/mission_rollout.py:114 intercept_limiter	R1/R2 ratified · M4 legacy geometry · T1 · limiter_mode=intercept + baseline_commit	관측 (덤프 3/3 + 스모크 n=20; 대규모 확인은 E3 full)	논문·문서에서 현행 하드킬을 'contact-based physical neutralization' 으로 기술한다. margin 식과 r_contact 는 의미가 다른 두 반경이며 현 운용점에서 전자가 후자보다 작아 비활성이다	'limiter 가 자폭을 결정했다' / 'explicit kamikaze commit' / '커밋 기하 판정이 하드킬을 만든다' — 현행 실행 경로와 불일치	—	yes — semantic cleanup 대상 (E3 headline 과 분리). E3 full 에서 n_committed 분포로 대규모 확인 후 docs/29 §12.3 표기 정정
C034	현행 all-chase baseline 은 사용되지 않은 pathwise 요격 기회를 상당량 남긴다. 4 기가 방위로는 분산(115.8 deg)돼 있으나 시간축에서는 사실상 **단일 요격 층**이다 (range(t_min) 중앙값 0.125 s, 93.7% 가 0.3 s 이내)	(신규 — 기존에 24% 하드킬을 능력 상한처럼 읽던 서술을 대체)	docs/83 §18 (사전등록) · §19 (판정 B)	ACTIVE	E3 n=300: P(d_actual<=0.75)=0.043 [0.025,0.073] vs P(d_oracle<=0.75)=0.883 [0.842,0.915]; paired delta 중앙값 -1.262 m CI95 [-1.389,-1.201]; E[가능 limiter 수]=2.84/4; 침투 203 건은 중앙값 4.0/4	results/e3_oracle.json (+ .log)	shepherd/scripts/e3_oracle.py; oracle = min_t max(0,|p_A(t)-(p_L0+v_L0 t)|-R(t)), R=contact_reachability.reach_radius	R1/R2 ratified · M4 legacy geometry · T1 · intercept + baseline_commit	hindsight pathwise reachability on the **realized** attacker trajectory (drift-center 근사로 낙관 방향)	최대 표현 = 'There is substantial unused pathwise interception opportunity, but the baseline concentrates those opportunities into a single temporal layer.' secondary: net-friendly geometry != kinetic-friendly geometry (CAPTURED 40 건은 oracle 가능 중앙값 0/4)	'a realizable causal role-assignment policy would succeed' / 'assignment 가 causal solution' / '학습이 필요하다' / '기체 capability 가 부족하다' — 전부 이 증거로는 불가	—	yes — E4-1 temporal stagger only (docs/83 §20, 사전등록 완료·미실행). primary 는 HK 가 아니라 mechanism(range(t_min)) 이다
